episodes,np.normal,np.cauchy,np.exponential,np.gamma,np.student's t,np.uniform,np.binomial,np.beta,np.chisquare,random
1,0.31,0.72,0.52,0.27,0.67,0.59,0.7,0.29,0.12,0.1
2,0.37,0.36,0.81,0.26,0.56,0.3,0.57,0.18,0.13,0.06
3,0.44,0.27,0.82,0.35,0.51,0.2,0.52,0.23,0.13,0.04
4,0.5,0.31,0.85,0.37,0.44,0.16,0.56,0.3,0.15,0.03
5,0.58,0.38,0.89,0.43,0.4,0.2,0.61,0.33,0.16,0.03
6,0.6,0.46,0.96,0.5,0.41,0.22,0.65,0.35,0.15,0.02
7,0.64,0.51,1.03,0.55,0.39,0.23,0.68,0.39,0.15,0.02
8,0.7,0.54,1.06,0.54,0.39,0.23,0.67,0.4,0.17,0.02
9,0.77,0.6,1.07,0.57,0.38,0.24,0.69,0.43,0.18,0.02
10,0.81,0.63,1.1,0.58,0.38,0.26,0.72,0.45,0.19,0.07
11,0.87,0.66,1.15,0.61,0.41,0.3,0.73,0.5,0.21,0.15
12,0.89,0.67,1.16,0.61,0.47,0.35,0.77,0.54,0.2,0.22
13,0.93,0.67,1.2,0.63,0.54,0.37,0.82,0.6,0.2,0.25
14,1.03,0.67,1.26,0.66,0.62,0.37,0.89,0.61,0.19,0.28
15,1.11,0.68,1.32,0.7,0.67,0.41,0.95,0.63,0.19,0.33
16,1.18,0.68,1.38,0.74,0.72,0.44,1.01,0.66,0.19,0.38
17,1.25,0.69,1.44,0.76,0.78,0.48,1.05,0.69,0.18,0.43
18,1.28,0.68,1.5,0.8,0.84,0.54,1.15,0.75,0.18,0.47
19,1.34,0.67,1.56,0.84,0.89,0.59,1.22,0.82,0.18,0.52
20,1.38,0.67,1.65,0.89,0.96,0.65,1.27,0.88,0.21,0.55
21,1.44,0.67,1.73,0.97,1,0.73,1.34,0.95,0.21,0.6
22,1.5,0.66,1.81,1.03,1.05,0.79,1.38,1.03,0.22,0.64
23,1.57,0.68,1.9,1.11,1.12,0.86,1.45,1.13,0.23,0.71
24,1.65,0.69,2.07,1.17,1.19,0.92,1.52,1.24,0.23,0.76
25,1.73,0.73,2.22,1.26,1.27,0.97,1.57,1.35,0.23,0.82
26,1.84,0.77,2.35,1.36,1.33,1.05,1.63,1.48,0.22,0.88
27,1.96,0.79,2.46,1.46,1.39,1.13,1.78,1.58,0.23,0.96
28,2.09,0.83,2.58,1.57,1.43,1.22,1.91,1.69,0.23,1.1
29,2.2,0.87,2.71,1.7,1.49,1.3,2.16,1.83,0.23,1.25
30,2.36,0.92,2.85,1.82,1.55,1.4,2.38,1.96,0.24,1.42
31,2.55,0.97,3.03,1.96,1.62,1.47,2.7,2.17,0.23,1.62
32,2.82,1.01,3.24,2.12,1.64,1.58,2.98,2.35,0.23,1.8
