episodes,np.normal,np.cauchy,np.exponential,np.gamma,np.student's t,np.uniform,np.binomial,np.beta,np.chisquare,random
1,0.31,0.72,0.52,0.27,0.67,0.59,0.7,0.29,0.12,0.1
2,0.42,0.01,1.11,0.25,0.44,0,0.45,0.06,0.14,0.02
3,0.59,0.09,0.82,0.52,0.42,0.01,0.4,0.35,0.14,0.01
4,0.68,0.42,0.97,0.46,0.21,0.01,0.68,0.5,0.2,0
5,0.87,0.66,1.02,0.64,0.27,0.37,0.81,0.45,0.2,0
6,0.74,0.89,1.34,0.86,0.42,0.32,0.87,0.47,0.12,0.01
7,0.83,0.77,1.42,0.87,0.27,0.3,0.83,0.61,0.15,0.01
8,1.16,0.79,1.32,0.49,0.37,0.25,0.64,0.43,0.27,0.01
9,1.33,1.02,1.16,0.76,0.36,0.27,0.83,0.73,0.27,0
10,1.21,0.9,1.32,0.7,0.33,0.42,0.99,0.64,0.32,0.51
11,1.4,1,1.63,0.88,0.7,0.78,0.86,0.98,0.39,0.99
12,1.18,0.77,1.34,0.65,1.17,0.84,1.2,1.01,0.1,1.01
13,1.39,0.67,1.66,0.81,1.4,0.67,1.37,1.23,0.14,0.55
14,2.33,0.72,1.98,1.14,1.65,0.34,1.8,0.85,0.08,0.73
15,2.26,0.84,2.15,1.27,1.4,0.91,1.82,0.78,0.16,0.99
16,2.13,0.66,2.31,1.34,1.35,0.97,1.9,1.12,0.17,1.07
17,2.36,0.79,2.37,1.07,1.83,1.09,1.7,1.15,0.09,1.36
18,1.92,0.55,2.65,1.35,1.89,1.59,2.8,1.83,0.17,1.11
19,2.42,0.55,2.49,1.59,1.69,1.37,2.56,2.01,0.23,1.45
20,1.99,0.6,3.41,1.91,2.3,1.96,2.21,2.12,0.66,1.07
21,2.8,0.59,3.34,2.6,1.89,2.22,2.73,2.31,0.22,1.51
22,2.64,0.51,3.59,2.17,1.99,2.04,2.22,2.76,0.55,1.54
23,3.1,1.02,3.89,2.99,2.61,2.51,2.94,3.2,0.3,2.16
24,3.55,1.07,5.94,2.51,2.95,2.27,3.12,3.8,0.35,2.04
25,3.71,1.52,5.69,3.33,3.18,2.24,2.75,4.01,0.11,2.22
26,4.52,1.78,5.53,3.91,2.92,2.99,3.28,4.68,0.18,2.53
27,5.02,1.49,5.42,3.96,2.86,3.25,5.6,4.32,0.4,2.87
28,5.78,1.83,5.79,4.79,2.56,3.56,5.46,4.59,0.19,4.86
29,5.09,2.02,6.54,5.24,3.09,3.45,9.01,5.72,0.21,5.51
30,7.07,2.34,6.93,5.38,3.23,4.25,8.7,5.81,0.41,6.45
31,8.32,2.54,8.2,5.96,3.69,3.83,12.52,8.35,0.18,7.53
32,11.18,2.08,9.86,7.15,2.4,5,11.71,8.02,0.14,7.47
33,14.93,2.9,10.52,5.01,4.84,4.48,13.34,9.1,0.21,11.58
34,17.63,3.8,9.32,5.39,4.9,5.25,15.4,9.14,0.15,11.85
35,18.43,3.98,9.49,6.78,5.54,5.57,20.91,9.17,0.21,13.24
36,19.66,3.76,11.04,7.41,5.82,6.21,17.79,9.85,0.53,15.65
37,22,4.42,11.61,8.82,5.97,6.9,17.85,11.05,0.45,19.29
38,21.73,4.26,12.47,8.11,5.94,8.14,21.01,11.32,0.78,21.47
39,22.38,5.18,11.88,7.03,7.11,9.57,24.71,12.66,0.63,26.37
40,24.82,4.97,12.01,9.44,8.43,7.36,26.03,12.55,0.72,30.33
41,25.98,5.75,14.5,10.09,7.85,8.49,27.5,13.6,1.04,32.64
42,24.58,7.26,13.91,11.56,6.95,8.67,34.11,14.13,1.27,33.18
43,31.33,7.35,14.19,10.02,8.44,10.62,36.23,16.16,1.94,34.57
44,29.94,8.26,14.85,12.75,9.26,9.12,37.92,14.11,1.81,33.81
45,32.34,7.11,14.79,11.17,8.63,10.87,37.2,14.76,1.54,35.68
46,33.15,8.67,14.75,11.16,8.33,11.8,37.32,13.7,1.94,36.18
47,34.78,9.98,7.26,11.33,8.91,11.91,38.93,14.18,1.95,37.33
48,35.52,9.05,14.62,13.2,9.59,12.58,38.96,13.39,2.19,37.19
49,37.68,11.1,15.3,13.97,9.61,13.43,39.03,15.35,2.16,38.02
50,38.44,11.18,15.48,15.29,10.01,14.04,39.29,13.86,2.42,38.13
51,38.33,14.33,15.74,13.14,11.24,13.85,39.24,16.06,2.19,39.35
52,38.89,15.2,18.03,14.72,11.01,13.86,39.4,15.77,2.42,39.4
53,39.07,15.72,18.14,17.05,10.57,14.37,39.21,17.27,2.51,39.39
54,39.01,18.83,18.31,18.09,11.29,14.28,39.2,16.32,2.46,39.5
55,39.02,22.13,20.92,21.19,12.59,15.21,39.09,16.17,2.92,39.3
56,39.2,22.15,20.9,20.52,11.75,14.3,39.21,17.49,2.83,39.31
57,39.06,23.44,22.17,23.17,9.15,16.31,39.21,17.49,2.72,39.27
58,39.28,24.17,25.16,23.34,10.8,17.08,39.24,16.67,2.77,39.26
59,39.36,28.04,27.2,24.41,10.96,15.87,39.18,15.7,2.91,39.4
60,39.3,29.94,30.91,24.11,11.23,16.19,39.2,16.26,3,39.49
61,39.24,29.91,32.29,26.15,15.63,16.5,39.48,19.2,3.66,39.44
62,39.16,32.98,33,27.03,15.98,18.05,39.45,10.44,3.37,39.46
63,39.32,33.74,35.54,25.46,18.95,16.91,39.27,18.99,2.75,39.53
64,39.23,35.69,35.49,28.66,17.33,17.01,39.45,20.01,4.13,38.98
65,39.35,34.14,37.57,30.97,19.64,17.62,39.22,19.97,3.58,39.41
66,39.18,35.67,38.18,31.57,19.88,17.43,39.33,22.67,3.87,39.42
67,39.43,33.08,38.85,31.62,22.94,18.03,39.47,21.65,3.26,39.52
68,38.99,35.17,39.14,30.87,21.37,19.85,39.26,23.11,4.45,39.42
69,39.42,36.19,39.03,33.4,25.55,17.2,39.46,25.15,4.03,39.55
70,39.51,37.81,39.02,33.41,26.68,18.06,39.33,21.16,4.02,39.41
71,39.49,38.02,38.46,34.11,30.3,18.3,39.38,23.46,3.32,39.41
72,39.43,38.36,38.93,34.85,32.64,18.35,39.29,22.48,3.81,39.38
73,39.45,39.03,38.02,35.37,33.71,19.36,39.32,25.75,4.03,39.47
